name,ring,quadrant,isNew,description
Scrum,adopt,techniques,FALSE,
Peer review,adopt,techniques,FALSE,
DevEx,adopt,techniques,TRUE,
Architectural Friday,adopt,techniques,TRUE,
Polyrepo,adopt,techniques,TRUE,
3+1 solutions,adopt,techniques,FALSE,
Markdown,adopt,tools,FALSE,
ReSharper,adopt,tools,FALSE,
YAML Pipelines,adopt,tools,TRUE,
Swagger UI,adopt,tools,TRUE,
Microsoft Teams,adopt,tools,TRUE,
Git,adopt,tools,FALSE,
Visual Studio,adopt,tools,FALSE,
Visual Studio Code,adopt,tools,FALSE,
Octopus,adopt,platforms,FALSE,
Azure App Services,adopt,platforms,TRUE,
Azure DevOps Services,adopt,platforms,FALSE,
MS SQL,adopt,platforms,FALSE,
Azure Service Bus,adopt,platforms,FALSE,
SEQ,adopt,platforms,FALSE,
.NET Standard,adopt,platforms,FALSE,
ASP.NET Core,adopt,platforms,FALSE,
MongoDB,adopt,platforms,FALSE,
xUnit,adopt,languages & frameworks,FALSE,
Angular,adopt,languages & frameworks,FALSE,
NEventStore,adopt,languages & frameworks,TRUE,
NServiceBus,adopt,languages & frameworks,TRUE,
Quartz,adopt,languages & frameworks,TRUE,
Open API Spec,adopt,languages & frameworks,TRUE,
C#,adopt,languages & frameworks,FALSE,
NHibernate,adopt,languages & frameworks,FALSE,
Typescript,adopt,languages & frameworks,FALSE,
Autofac,adopt,languages & frameworks,FALSE,
Domain Driven Design,trial,techniques,TRUE,
Context Mapping,trial,techniques,FALSE,
Terraform,trial,tools,TRUE,
MS teams,trial,tools,FALSE,
Sharepoint Online,trial,platforms,TRUE,
Application Insights,trial,platforms,TRUE,
CosmosDB,trial,platforms,FALSE,
Fitness Functions,assess,techniques,TRUE,
Event Storming,assess,techniques,FALSE,
Rider,assess,tools,TRUE,
Grafana,assess,platforms,FALSE,
.NET core Injection,assess,languages & frameworks,FALSE,
NgRx,assess,languages & frameworks,TRUE,
C# 8,assess,languages & frameworks,FALSE,
GraphQL,assess,languages & frameworks,FALSE,
TFVC,hold,tools,FALSE,
ASP.NET MVC,hold,platforms,FALSE,
Docker,hold,platforms,TRUE,
DevOps Release Pipeline,hold,platforms,TRUE,
Kubernetes,hold,platforms,TRUE,
.NET Framework,hold,platforms,FALSE,
VM,hold,platforms,FALSE,
MSTest,hold,languages & frameworks,FALSE,
Topshelf,hold,languages & frameworks,FALSE,
AngularJS,hold,languages & frameworks,FALSE,
Entity Framework,hold,languages & frameworks,FALSE,
