name,ring,quadrant,isNew,description
Scrum,adopt,techniques,FALSE,
Peer review,adopt,techniques,FALSE,
DevEx,adopt,techniques,FALSE,
Architectural Friday,adopt,techniques,FALSE,
Polyrepo,adopt,techniques,FALSE,
3+1 solutions,adopt,techniques,FALSE,
Markdown,adopt,tools,FALSE,
ReSharper,adopt,tools,FALSE,
YAML Pipelines,adopt,tools,FALSE,
Swagger UI,adopt,tools,FALSE,
Microsoft Teams,adopt,tools,FALSE,
Git,adopt,tools,FALSE,
Visual Studio,adopt,tools,FALSE,
Visual Studio Code,adopt,tools,FALSE,
Octopus,adopt,platforms,FALSE,
Azure App Services,adopt,platforms,FALSE,
Azure DevOps Services,adopt,platforms,FALSE,
MS SQL,adopt,platforms,FALSE,
Azure Service Bus,adopt,platforms,FALSE,
SEQ,adopt,platforms,FALSE,
.NET Standard,adopt,platforms,FALSE,
ASP.NET Core,adopt,platforms,FALSE,
MongoDB,adopt,platforms,FALSE,
xUnit,adopt,languages & frameworks,FALSE,
Angular,adopt,languages & frameworks,FALSE,
NEventStore,adopt,languages & frameworks,FALSE,
NServiceBus,adopt,languages & frameworks,FALSE,
Quartz,adopt,languages & frameworks,FALSE,
Open API Spec,adopt,languages & frameworks,FALSE,
C#,adopt,languages & frameworks,FALSE,
NHibernate,adopt,languages & frameworks,FALSE,
Typescript,adopt,languages & frameworks,FALSE,
Autofac,adopt,languages & frameworks,FALSE,
Event Storming,trial,techniques,TRUE,
Fitness Functions,trial,techniques,TRUE,
Domain Driven Design,trial,techniques,FALSE,
Context Mapping,trial,techniques,FALSE,
Terraform,trial,tools,FALSE,
MS teams,trial,tools,FALSE,
Sharepoint Online,trial,platforms,FALSE,
Application Insights,trial,platforms,FALSE,
CosmosDB,trial,platforms,FALSE,
Rider,assess,tools,FALSE,
Grafana,assess,platforms,FALSE,
.NET core Injection,assess,languages & frameworks,FALSE,
NgRx,assess,languages & frameworks,FALSE,
C# 8,assess,languages & frameworks,FALSE,
TFVC,hold,tools,FALSE,
ASP.NET MVC,hold,platforms,FALSE,
Docker,hold,platforms,FALSE,
DevOps Release Pipeline,hold,platforms,FALSE,
Kubernetes,hold,platforms,FALSE,
.NET Framework,hold,platforms,FALSE,
VM,hold,platforms,FALSE,
MSTest,hold,languages & frameworks,FALSE,
Topshelf,hold,languages & frameworks,FALSE,
AngularJS,hold,languages & frameworks,FALSE,
Entity Framework,hold,languages & frameworks,FALSE,
